timestamp,mode,battery_voltage,brownout,has_ds_connection,match_time,alliance,driver_station_position,has_fms_connection,is_sys_active,match_type,match_number,queue_index
152648,0,12.5799,0,1,-1,0,2,0,0,0,0,7585

152668,0,12.5736,0,1,-1,0,2,0,0,0,0,7586

152688,0,12.5611,0,1,-1,0,2,0,0,0,0,7587

152708,0,12.5611,0,1,-1,0,2,0,0,0,0,7588

152727,0,12.5548,0,1,-1,0,2,0,0,0,0,7589

152747,0,12.5736,0,1,-1,0,2,0,0,0,0,7590

152767,0,12.5799,0,1,-1,0,2,0,0,0,0,7591

152788,0,12.5799,0,1,-1,0,2,0,0,0,0,7592

152811,0,12.5862,0,1,-1,0,2,0,0,0,0,7593

152828,0,12.5674,0,1,-1,0,2,0,0,0,0,7594

152848,0,12.5925,0,1,-1,0,2,0,0,0,0,7595

152867,0,12.5862,0,1,-1,0,2,0,0,0,0,7596

152892,0,12.5736,0,1,-1,0,2,0,0,0,0,7597

152907,0,12.5799,0,1,-1,0,2,0,0,0,0,7598

152932,0,12.5862,0,1,-1,0,2,0,0,0,0,7599

152947,0,12.5862,0,1,-1,0,2,0,0,0,0,7600

152968,0,12.5736,0,1,-1,0,2,0,0,0,0,7601

152991,0,12.5674,0,1,-1,0,2,0,0,0,0,7602

153008,0,12.5736,0,1,-1,0,2,0,0,0,0,7603

153032,0,12.5674,0,1,-1,0,2,0,0,0,0,7604

153048,0,12.5736,0,1,-1,0,2,0,0,0,0,7605

153068,0,12.5736,0,1,-1,0,2,0,0,0,0,7606

153088,0,12.5674,0,1,-1,0,2,0,0,0,0,7607

153108,0,12.5736,0,1,-1,0,2,0,0,0,0,7608

153127,0,12.5736,0,1,-1,0,2,0,0,0,0,7609

153147,0,12.5736,0,1,-1,0,2,0,0,0,0,7610

153171,0,12.5674,0,1,-1,0,2,0,0,0,0,7611

153188,0,12.5799,0,1,-1,0,2,0,0,0,0,7612

153207,0,12.5862,0,1,-1,0,2,0,0,0,0,7613

153233,0,12.5988,0,1,-1,0,2,0,0,0,0,7614

153251,0,12.5799,0,1,-1,0,2,0,0,0,0,7615

153268,0,12.5799,0,1,-1,0,2,0,0,0,0,7616

153288,0,12.5799,0,1,-1,0,2,0,0,0,0,7617

153311,0,12.5736,0,1,-1,0,2,0,0,0,0,7618

153327,0,12.5862,0,1,-1,0,2,0,0,0,0,7619

153347,0,12.5674,0,1,-1,0,2,0,0,0,0,7620

153371,0,12.5862,0,1,-1,0,2,0,0,0,0,7621

153388,0,12.5674,0,1,-1,0,2,0,0,0,0,7622

153407,0,12.5736,0,1,-1,0,2,0,0,0,0,7623

153431,0,12.5736,0,1,-1,0,2,0,0,0,0,7624

153451,0,12.5799,0,1,-1,0,2,0,0,0,0,7625

153471,0,12.5736,0,1,-1,0,2,0,0,0,0,7626

153487,0,12.5674,0,1,-1,0,2,0,0,0,0,7627

153508,0,12.5674,0,1,-1,0,2,0,0,0,0,7628

153528,0,12.5674,0,1,-1,0,2,0,0,0,0,7629

153548,0,12.5736,0,1,-1,0,2,0,0,0,0,7630

153571,0,12.5736,0,1,-1,0,2,0,0,0,0,7631

153592,0,12.5674,0,1,-1,0,2,0,0,0,0,7632

153608,0,12.5736,0,1,-1,0,2,0,0,0,0,7633

153628,0,12.5799,0,1,-1,0,2,0,0,0,0,7634

153652,0,12.5862,0,1,-1,0,2,0,0,0,0,7635

153668,0,12.5736,0,1,-1,0,2,0,0,0,0,7636

153687,0,12.5862,0,1,-1,0,2,0,0,0,0,7637

153709,0,12.5862,0,1,-1,0,2,0,0,0,0,7638

153728,0,12.5925,0,1,-1,0,2,0,0,0,0,7639

153747,0,12.5799,0,1,-1,0,2,0,0,0,0,7640

153772,0,12.5862,0,1,-1,0,2,0,0,0,0,7641

153791,0,12.5799,0,1,-1,0,2,0,0,0,0,7642

153807,0,12.5736,0,1,-1,0,2,0,0,0,0,7643

153831,0,12.5862,0,1,-1,0,2,0,0,0,0,7644

153851,0,12.5674,0,1,-1,0,2,0,0,0,0,7645

153871,0,12.5674,0,1,-1,0,2,0,0,0,0,7646

153888,0,12.5799,0,1,-1,0,2,0,0,0,0,7647

153908,0,12.5736,0,1,-1,0,2,0,0,0,0,7648

153928,0,12.5674,0,1,-1,0,2,0,0,0,0,7649

153948,0,12.5736,0,1,-1,0,2,0,0,0,0,7650

153971,0,12.5674,0,1,-1,0,2,0,0,0,0,7651

