timestamp,left_voltage,right_voltage,high_gear,queue_index
88292,0.00353138,-0.00353138,0,17510

88297,0.0180013,-0.0180013,0,17511

88302,-0.0210675,0.0210675,0,17512

88307,-0.00225658,0.00225658,0,17513

88312,-0.00659756,0.00659756,0,17514

88317,0.0194483,-0.0194483,0,17515

88322,0.00642537,-0.00642537,0,17516

88327,-0.00949154,0.00949154,0,17517

88332,-0.0109385,0.0109385,0,17518

88337,-0.0196205,0.0196205,0,17519

88342,0.00642537,-0.00642537,0,17520

88347,-0.0239615,0.0239615,0,17521

88352,-0.0181735,0.0181735,0,17522

88357,-0.00225658,0.00225658,0,17523

88362,0.0353652,-0.0353652,0,17524

88367,0.0006374,-0.0006374,0,17525

88372,0.0165543,-0.0165543,0,17526

88377,-0.00515057,0.00515057,0,17527

88382,0.0382592,-0.0382592,0,17528

88387,0.0165543,-0.0165543,0,17529

88392,-0.00225658,0.00225658,0,17530

88397,-0.0196205,0.0196205,0,17531

88402,0.0107663,-0.0107663,0,17532

88407,0.0165543,-0.0165543,0,17533

88412,0.0006374,-0.0006374,0,17534

88417,0.00642537,-0.00642537,0,17535

88422,0.0426002,-0.0426002,0,17536

88427,-0.0355374,0.0355374,0,17537

88432,0.0107663,-0.0107663,0,17538

88437,-0.0210675,0.0210675,0,17539

88442,-0.0181735,0.0181735,0,17540

88447,0.00353138,-0.00353138,0,17541

88452,0.0180013,-0.0180013,0,17542

88457,0.0252363,-0.0252363,0,17543

88462,-0.0109385,0.0109385,0,17544

88467,-0.0268554,0.0268554,0,17545

88472,-0.0297494,0.0297494,0,17546

88477,0.0165543,-0.0165543,0,17547

88482,-0.0427723,0.0427723,0,17548

88487,-0.0152795,0.0152795,0,17549

88492,0.00497837,-0.00497837,0,17550

88497,-0.00225658,0.00225658,0,17551

88502,-0.0123855,0.0123855,0,17552

88507,0.0151073,-0.0151073,0,17553

88512,0.0151073,-0.0151073,0,17554

88517,0.00931935,-0.00931935,0,17555

88522,0.068646,-0.068646,0,17556

88527,-0.000809592,0.000809592,0,17557

88532,0.00642537,-0.00642537,0,17558

88537,-0.00225658,0.00225658,0,17559

88542,-0.0500073,0.0500073,0,17560

88547,-0.0225145,0.0225145,0,17561

88552,0.00353138,-0.00353138,0,17562

88557,-0.000809592,0.000809592,0,17563

88562,-0.0268554,0.0268554,0,17564

88567,-0.00949154,0.00949154,0,17565

88572,0.00642537,-0.00642537,0,17566

88577,-0.0109385,0.0109385,0,17567

88582,-0.0254084,0.0254084,0,17568

88587,0.00208439,-0.00208439,0,17569

88592,-0.0152795,0.0152795,0,17570

88597,0.067199,-0.067199,0,17571

88602,0.0397062,-0.0397062,0,17572

88607,0.062858,-0.062858,0,17573

88612,0.0426002,-0.0426002,0,17574

88617,0.00642537,-0.00642537,0,17575

88622,-0.0138325,0.0138325,0,17576

88627,-0.00515057,0.00515057,0,17577

88632,0.0107663,-0.0107663,0,17578

88637,0.00208439,-0.00208439,0,17579

88642,-0.00370357,0.00370357,0,17580

88647,-0.0355374,0.0355374,0,17581

88652,-0.0427723,0.0427723,0,17582

88657,0.0310242,-0.0310242,0,17583

88662,0.00642537,-0.00642537,0,17584

88667,-0.0109385,0.0109385,0,17585

88672,-0.00370357,0.00370357,0,17586

88677,0.00931935,-0.00931935,0,17587

88682,-0.0283024,0.0283024,0,17588

88687,0.00497837,-0.00497837,0,17589

88692,0.00787236,-0.00787236,0,17590

88697,-0.00515057,0.00515057,0,17591

88702,-0.0123855,0.0123855,0,17592

88707,-0.00949154,0.00949154,0,17593

88712,0.00353138,-0.00353138,0,17594

88717,0.0122133,-0.0122133,0,17595

88722,0.0397062,-0.0397062,0,17596

88727,-0.0167265,0.0167265,0,17597

88732,0.00353138,-0.00353138,0,17598

88737,0.0122133,-0.0122133,0,17599

88742,0.0151073,-0.0151073,0,17600

88747,-0.00225658,0.00225658,0,17601

88752,-0.00225658,0.00225658,0,17602

88757,0.00931935,-0.00931935,0,17603

88762,-0.0152795,0.0152795,0,17604

88767,0.0136603,-0.0136603,0,17605

88772,-0.0225145,0.0225145,0,17606

88777,0.0151073,-0.0151073,0,17607

88782,-0.0138325,0.0138325,0,17608

88787,0.0122133,-0.0122133,0,17609

88792,-0.0384314,0.0384314,0,17610

88797,0.00497837,-0.00497837,0,17611

88802,0.0194483,-0.0194483,0,17612

88807,0.0165543,-0.0165543,0,17613

88812,0.0411532,-0.0411532,0,17614

88817,0.00353138,-0.00353138,0,17615

88822,0.0107663,-0.0107663,0,17616

88827,0.0151073,-0.0151073,0,17617

88832,-0.0181735,0.0181735,0,17618

88837,-0.0152795,0.0152795,0,17619

88842,-0.0369844,0.0369844,0,17620

88847,-0.0109385,0.0109385,0,17621

88852,0.00208439,-0.00208439,0,17622

88857,0.0165543,-0.0165543,0,17623

88862,0.0136603,-0.0136603,0,17624

88867,0.0165543,-0.0165543,0,17625

88872,0.0136603,-0.0136603,0,17626

88877,-0.0239615,0.0239615,0,17627

88882,0.00787236,-0.00787236,0,17628

88887,0.0397062,-0.0397062,0,17629

88892,0.00787236,-0.00787236,0,17630

88897,0.00787236,-0.00787236,0,17631

88902,-0.0210675,0.0210675,0,17632

88907,-0.00370357,0.00370357,0,17633

88912,-0.0123855,0.0123855,0,17634

88917,-0.00659756,0.00659756,0,17635

88922,0.0151073,-0.0151073,0,17636

88927,0.00208439,-0.00208439,0,17637

88932,0.0353652,-0.0353652,0,17638

88937,0.0382592,-0.0382592,0,17639

88942,0.00931935,-0.00931935,0,17640

88947,-0.0123855,0.0123855,0,17641

88952,0.0194483,-0.0194483,0,17642

88957,-0.0167265,0.0167265,0,17643

88962,-0.0109385,0.0109385,0,17644

88967,-0.0340904,0.0340904,0,17645

88972,0.00208439,-0.00208439,0,17646

88977,0.0208953,-0.0208953,0,17647

88982,0.0107663,-0.0107663,0,17648

88987,0.0339182,-0.0339182,0,17649

88992,-0.0167265,0.0167265,0,17650

88997,-0.0109385,0.0109385,0,17651

89002,-0.00804455,0.00804455,0,17652

89007,0.00497837,-0.00497837,0,17653

89012,-0.0311964,0.0311964,0,17654

89017,-0.0138325,0.0138325,0,17655

89022,-0.00515057,0.00515057,0,17656

89027,0.0107663,-0.0107663,0,17657

89032,0.0006374,-0.0006374,0,17658

89037,-0.0311964,0.0311964,0,17659

89042,-0.0138325,0.0138325,0,17660

89047,0.0151073,-0.0151073,0,17661

89052,0.0151073,-0.0151073,0,17662

89057,0.0208953,-0.0208953,0,17663

89062,-0.00515057,0.00515057,0,17664

89067,0.00208439,-0.00208439,0,17665

89072,0.00208439,-0.00208439,0,17666

89077,0.0194483,-0.0194483,0,17667

89082,-0.0210675,0.0210675,0,17668

89087,-0.0398784,0.0398784,0,17669

89092,-0.0398784,0.0398784,0,17670

89097,0.0165543,-0.0165543,0,17671

89102,-0.00659756,0.00659756,0,17672

89107,-0.0109385,0.0109385,0,17673

89112,-0.0138325,0.0138325,0,17674

89117,-0.0167265,0.0167265,0,17675

89122,-0.0239615,0.0239615,0,17676

89127,-0.0152795,0.0152795,0,17677

89132,-0.00370357,0.00370357,0,17678

89137,-0.00804455,0.00804455,0,17679

89142,-0.000809592,0.000809592,0,17680

89147,0.0353652,-0.0353652,0,17681

89152,0.00208439,-0.00208439,0,17682

89157,-0.0109385,0.0109385,0,17683

89162,-0.000809592,0.000809592,0,17684

89167,0.00931935,-0.00931935,0,17685

89172,0.00353138,-0.00353138,0,17686

89177,-0.00515057,0.00515057,0,17687

89182,-0.0442193,0.0442193,0,17688

89187,-0.0109385,0.0109385,0,17689

89192,-0.000809592,0.000809592,0,17690

89197,0.00642537,-0.00642537,0,17691

89202,-0.0268554,0.0268554,0,17692

89207,0.0107663,-0.0107663,0,17693

89212,-0.00515057,0.00515057,0,17694

89217,0.0208953,-0.0208953,0,17695

89222,0.0194483,-0.0194483,0,17696

89227,0.0136603,-0.0136603,0,17697

89232,-0.0268554,0.0268554,0,17698

89237,-0.00225658,0.00225658,0,17699

89242,0.00353138,-0.00353138,0,17700

89247,-0.0384314,0.0384314,0,17701

